PhishID, PhishURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Result                                                                                                                                                                                                                                                                                                                                                                                                                            , Length of URL, Has IP address, Shortening Service, Having @ Symbol, Double Slash Redirecting, Prefix-Suffix, Has Sub-domain, SSL Final State, Port, Domain Length,
8193208, https://trjyujgd.jungleheart.com                                                                                                                                                                                                                                                                                                                                                                                                                                        , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 32           , -1            , 1                 , -1             , 1                       , 1            , 1             , -1             , -1  , 24           ,
8193207, https://ugbesafsd.dsmtp.com                                                                                                                                                                                                                                                                                                                                                                                                                                             , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 27           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 19           ,
8193205, https://xvxsrqwdg.ocry.com                                                                                                                                                                                                                                                                                                                                                                                                                                              , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 26           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 18           ,
8193203, https://yhteygegfd.jkub.com                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 27           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 19           ,
8193199, https://nvnhfdyher.25u.com                                                                                                                                                                                                                                                                                                                                                                                                                                              , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 26           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 18           ,
8193197, https://tgfdhgur.dynssl.com                                                                                                                                                                                                                                                                                                                                                                                                                                             , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 27           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 19           ,
8193194, https://jythsffgs.mrbasic.com                                                                                                                                                                                                                                                                                                                                                                                                                                           , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 29           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 21           ,
8193193, https://jyukfghdfg.almostmy.com                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 31           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 23           ,
8193191, https://kyuikfhjg.dumb1.com                                                                                                                                                                                                                                                                                                                                                                                                                                             , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 27           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 19           ,
8193189, https://hytjuykfgh.almostmy.com                                                                                                                                                                                                                                                                                                                                                                                                                                         , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 31           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 23           ,
8193188, https://iyujgdhere.myddns.com                                                                                                                                                                                                                                                                                                                                                                                                                                           , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 29           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 21           ,
8193187, https://jkhgftrere.ssmailer.com                                                                                                                                                                                                                                                                                                                                                                                                                                         , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 31           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 23           ,
8193183, https://eqwgtrhdf.longmusic.com                                                                                                                                                                                                                                                                                                                                                                                                                                         , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 31           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 23           ,
8193182, https://ewgtrhfd.longmusic.com                                                                                                                                                                                                                                                                                                                                                                                                                                          , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 30           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 22           ,
8193180, https://grehythfg.freeddns.com                                                                                                                                                                                                                                                                                                                                                                                                                                          , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 30           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 22           ,
8193179, https://houyjred.otzo.com                                                                                                                                                                                                                                                                                                                                                                                                                                               , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 25           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 17           ,
8193177, https://brahmsrequiem.com/                                                                                                                                                                                                                                                                                                                                                                                                                                              , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 26           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 17           ,
8193174, https://pazarskioglasi.com/                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 27           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 18           ,
8193173, https://buscoemprego.com/                                                                                                                                                                                                                                                                                                                                                                                                                                               , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 25           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 16           ,
8193167, " ""https://www.phinter.com.py/z7j98f5u98oi"                                                                                                                                                                                                                                                                                                                                                                                                                            , "ig6i8yh554ypo8/dt/index.html""                                                                                                                                                                                                                                                                                                                                                                                                  ", -1           , 40            , -1                , -1             , -1                      , 1            , -1            , -1             , -1  , -1           , 0
8193165, https://570lawyer.com/                                                                                                                                                                                                                                                                                                                                                                                                                                                  , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 22           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 13           ,
8193164, https://sejaefi.app/                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 20           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 11           ,
8193163, https://fabconintl.com/                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 23           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 14           ,
8193162, https://infohargajual.com/                                                                                                                                                                                                                                                                                                                                                                                                                                              , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 26           , -1            , -1                , -1             , 1                       , 1            , 0             , 1              , -1  , 17           ,
8193161, https://vapewife.com/                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 21           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 12           ,
8193149, https://www.amazon80o.com/index/login/index.html                                                                                                                                                                                                                                                                                                                                                                                                                        , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 48           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 17           ,
8193143, http://wlbulter.com/                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 20           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 12           ,
8193144, http://www.wlbulter.com/                                                                                                                                                                                                                                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 24           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 16           ,
8193120, https://6gql3v.codesandbox.io?hm=3Dc2dpbGJlcnRAcmhyaW50ZXJuYXRpb25hbC5jb20=3D                                                                                                                                                                                                                                                                                                                                                                                           , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 77           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 21           ,
8193107, https://sistema-de-declaracion-2023-oficina-cr.vercel.app                                                                                                                                                                                                                                                                                                                                                                                                               , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 57           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 49           ,
8193106, https://www.plataformadigitalmunicipal.online/contact                                                                                                                                                                                                                                                                                                                                                                                                                   , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 53           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 37           ,
8193105, https://willsandestates.ca/1/index1.html                                                                                                                                                                                                                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 40           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 18           ,
8193104, https://www.plataformadigitalmunicipal.online/about-us                                                                                                                                                                                                                                                                                                                                                                                                                  , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 54           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 37           ,
8193103, https://www.plataformadigitalmunicipal.online                                                                                                                                                                                                                                                                                                                                                                                                                           , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 45           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 37           ,
8193096, https://script.google.com/macros/s/AKfycbwZ3eb5nKhhlyMNN4w412HvZDlrVVnlmYIa7izXr-2UfylbEjrD-n245MZ8-sCF6XWgHg/exec                                                                                                                                                                                                                                                                                                                                                      , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 114          , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 17           ,
8193083, https://6gql3v.codesandbox.io?hm=3DbGZpbmVAcmhyaW50ZXJuYXRpb25hbC5jb20=3D                                                                                                                                                                                                                                                                                                                                                                                               , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 73           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 21           ,
8193079, https://ebranchcu.online/vscu/                                                                                                                                                                                                                                                                                                                                                                                                                                          , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 30           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 16           ,
8193073, https://www.brooksnz.com/                                                                                                                                                                                                                                                                                                                                                                                                                                               , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 25           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 16           ,
8193072, https://studiolegalesalvador.com/public/sign/in.php                                                                                                                                                                                                                                                                                                                                                                                                                     , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 51           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 24           ,
8193069, https://docs.google.com/forms/d/1CHkxzp1g9gMrPOKGKtrKA5OxAlHns6NGZLwl1XLaH9E/edit?pli=1                                                                                                                                                                                                                                                                                                                                                                                 , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 87           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 15           ,
8193067, https://netceasso.com/                                                                                                                                                                                                                                                                                                                                                                                                                                                  , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 22           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 13           ,
8193046, http://santanderptmobi.com/                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 27           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 19           ,
8193033, https://www.segurocolombia.com/                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 31           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 22           ,
